"user_id","subscribed","subscription_date","coupon","registration_date","last_edit_date","level","gender","age","study_degree","10k_AI_initiative","completed_courses_count","last_completion_date","last_completed_course_degree"
"563","2","2023-09-16","92_sale","2023-07-01 12:36:44","2023-07-01 12:36:44","5","f","21","Student","1","1","2023-08-01 10:12:25.210671","79"
"582","1",NULL,"free_initiative_ai","2023-07-01 16:58:12","2023-07-01 16:58:12","15","m","22","Graduated","1","3","2023-10-22 16:00:38.175581","94"
"587","2","2023-08-21","10k_ai_initiative","2023-07-01 17:03:34","2023-07-01 17:03:34","15","m","25","Graduated","1","4","2023-10-23 10:01:40.254276","100"
"594","2","2023-08-23","10k_ai_initiative","2023-07-01 17:14:39","2023-07-01 17:14:39","13","m","23","Graduated","1","2","2023-08-16 22:13:56.430738","92"
"601","2","2023-07-22","10k_ai_initiative","2023-07-01 17:21:59","2023-07-01 17:21:59","15","m","23","Student","1","3","2023-08-20 20:52:12.083442","100"
"604","2","2023-08-23","10k_ai_initiative","2023-07-01 17:31:09","2023-07-01 17:31:09","11","m","29","Graduated","1","2","2023-08-20 20:53:25.989193","96"
"621","2","2023-08-24","10k_ai_initiative","2023-07-01 22:25:49","2023-07-01 22:25:49","1","m","37","Graduated","1","0",NULL,NULL
"625","2","2023-08-16","10k_ai_initiative","2023-07-01 22:57:03","2023-07-01 22:57:03","9","m","29","Graduated","1","1","2023-08-03 23:53:56.901751","97"
"628","2","2023-08-05","10k_ai_initiative","2023-07-01 23:18:33","2023-07-01 23:18:33","10","m","22","Student","1","1","2023-08-05 18:05:44.686627","88"
"631","1","2023-07-08",NULL,"2023-07-01 23:36:17","2023-07-01 23:36:17","19","m","21","Student","1","4","2023-10-23 10:14:13.636903","100"
"632","1",NULL,"free_initiative_ai","2023-07-01 23:40:55","2023-07-01 23:40:55","13","m","20","Student","1","3","2023-08-31 03:48:03.076972","93"
"634","2","2023-08-16","10k_ai_initiative","2023-07-01 23:50:48","2023-07-01 23:50:48","11","m","20","Student","1","1","2023-08-05 04:17:47.408191","97"
"637","2","2023-08-25","10k_ai_initiative","2023-07-02 00:07:58","2023-07-02 00:07:58","14","m","20","Student","1","2","2023-10-23 08:18:59.147655","100"
"654","2","2023-08-24","10k_ai_initiative","2023-07-02 06:19:43","2023-07-02 06:19:43","24","m","25","Student","1","7","2023-11-03 15:13:01.446532","98"
"655","2","2023-08-05","10k_ai_initiative","2023-07-02 06:27:47","2023-07-02 06:27:47","16","m","22","Student","1","2","2023-09-05 08:03:41.468921","90"
"659","1","2023-07-02","free_initiative_ai","2023-07-02 06:45:17","2023-07-02 06:45:17","18","m","33","Graduated","1","3","2023-10-30 11:12:38.955470","92"
"675","2","2023-08-27","10k_ai_initiative","2023-07-02 08:35:22","2023-07-02 08:35:22","12","f","27","Graduated","1","1","2023-08-09 14:29:30.711564","89"
"687","2","2023-08-17","10k_ai_initiative","2023-07-02 11:35:28","2023-07-02 11:35:28","15","m","19","Student","1","2","2023-08-20 21:02:37.853914","98"
"704","2",NULL,NULL,"2023-07-02 14:54:19","2023-07-02 14:54:19","9","m","28","Graduated","1","1","2023-08-02 21:23:37.157799","100"
"711","2","2023-08-27","10k_ai_initiative","2023-07-02 16:37:34","2023-07-02 16:37:34","13","m","26","Graduated","1","2","2023-08-26 14:44:46.146165","89"
"725","2","2023-07-31","10k_ai_initiative","2023-07-02 19:47:43","2023-07-02 19:47:43","12","m","21","Student","1","1","2023-08-05 14:14:51.683696","87"
"726","1","2023-07-25",NULL,"2023-07-02 19:56:34","2023-07-02 19:56:34","15","m","19","Student","1","3","2023-10-23 10:18:27.072497","96"
"733","2","2023-07-12","10k_ai_initiative","2023-07-02 21:03:36","2023-07-02 21:03:36","7","m","23","Graduated","1","1","2023-08-05 17:58:11.781885","93"
"736","2","2023-09-17","Happy_Client","2023-07-02 22:35:17","2023-07-02 22:35:17","8","m","22","Student","1","1","2023-08-05 19:00:08.171679","92"
"746","1",NULL,"10k_ai_initiative","2023-07-03 00:16:23","2023-07-03 00:16:23","13","m","22","Student","1","2","2023-10-23 10:00:03.999876","94"
"771","1","2023-07-12","10k_ai_initiative","2023-07-03 12:24:05","2023-07-03 12:24:05","21","f","23","Graduated","1","7","2023-10-26 11:41:38.749903","100"
"777","1","2023-07-21",NULL,"2023-07-03 16:21:41","2023-07-03 16:21:41","1","m","29","Graduated","1","0",NULL,NULL
"778","2","2023-08-21","10k_ai_initiative","2023-07-03 16:37:23","2023-07-03 16:37:23","2","m","27","Graduated","1","0",NULL,NULL
"790","1","2023-07-13",NULL,"2023-07-03 22:05:02","2023-07-03 22:05:02","8","m","27","Graduated","1","1","2023-08-26 16:15:58.753291","92"
"791","2","2023-08-20","10k_ai_initiative","2023-07-03 22:31:56","2023-07-03 22:31:56","20","m","21","Student","1","4","2023-10-24 21:35:45.235576","100"
"812","2","2023-08-26","10k_ai_initiative","2023-07-04 14:52:09","2023-07-04 14:52:09","9","m","22","Student","1","1","2023-08-15 14:30:29.295880","89"
"848","1","2023-07-12",NULL,"2023-07-05 14:24:17","2023-07-05 14:24:17","8","f","19","Student","1","1","2023-08-07 13:20:18.499566","92"
"876","2","2023-07-27","10k_ai_initiative","2023-07-06 21:22:35","2023-07-06 21:22:35","15","m","28","Graduated","1","1","2023-07-27 13:52:19.715507","88"
"905","1",NULL,"free_initiative_ai","2023-07-07 11:58:24","2023-07-07 11:58:24","19","f","20","Student","1","4","2023-10-15 11:18:14.568370","100"
"922","2","2023-08-19","10k_ai_initiative","2023-07-08 20:01:23","2023-07-08 20:01:23","21","f","24","Graduated","1","7","2023-11-03 15:13:40.530485","100"
"925","2","2023-07-19","10k_ai_initiative","2023-07-08 22:15:17","2023-07-08 22:15:17","2","m","29","Graduated","1","0",NULL,NULL
"935","1","2023-07-27",NULL,"2023-07-09 21:46:42","2023-07-09 21:46:42","2","m","28","Graduated","1","0",NULL,NULL
"943","2","2023-08-16","10k_ai_initiative","2023-07-11 08:12:52","2023-07-11 08:12:52","17","m","21","Student","1","4","2023-10-23 09:58:58.768022","100"
"956","2","2023-07-11","10k_ai_initiative","2023-07-11 20:01:52","2023-07-11 20:01:52","7","f","24","Graduated","1","1","2023-08-02 17:06:42.590748","86"
"957","2","2023-08-01","10k_ai_initiative","2023-07-11 20:25:26","2023-07-11 20:25:26","12","m","22","Student","1","1","2023-08-02 22:33:57.955614","89"
"969","2","2023-08-27","10k_ai_initiative","2023-07-12 14:00:26","2023-07-12 14:00:26","12","m","22","Graduated","1","2","2023-08-31 22:42:37.341327","96"
