"d_date","registered_users","subscribed_users"
"2023-07-01","80","43"
"2023-07-02","109","56"
"2023-07-03","51","33"
"2023-07-04","35","21"
"2023-07-05","31","24"
"2023-07-06","29","13"
"2023-07-07","23","14"
"2023-07-08","14","5"
"2023-07-09","10","5"
"2023-07-10","4","2"
"2023-07-11","20","11"
"2023-07-12","20","15"
"2023-07-13","21","12"
"2023-07-14","7","4"
"2023-07-15","8","0"
"2023-07-16","11","4"
"2023-07-17","6","3"
"2023-07-18","9","5"
"2023-07-19","5","5"
"2023-07-20","6","0"
"2023-07-21","4","1"
"2023-07-22","3","2"
"2023-07-23","16","7"
"2023-07-24","320","293"
"2023-07-25","59","40"
"2023-07-26","555","519"
"2023-07-27","141","101"
"2023-07-28","100","81"
"2023-07-29","29","16"
