"user_id","course_id","chapter_id","lesson_id"
"556","1","1","2"
"563","1","4","3"
"563","3","3","1"
"563","15","1","1"
"568","1","1","2"
"568","4","1","1"
"570","1","6","7"
"570","3","8","7"
"574","12","1","1"
"575","1","4","2"
"575","3","4","1"
"575","4","1","1"
"578","1","6","7"
"578","3","4","1"
"582","1","2","3"
"582","3","7","11"
"582","4","3","7"
"582","5","4","7"
"582","7","1","1"
"582","9","1","1"
"582","11","5","1"
"582","15","1","1"
"583","4","1","1"
"587","1","6","7"
"587","3","7","11"
"587","4","2","4"
"587","5","1","7"
"587","7","1","3"
"587","9","1","1"
"587","11","1","1"
"587","14","1","4"
"589","1","2","1"
"590","4","2","1"
"594","1","4","1"
"594","3","7","10"
"594","4","2","1"
"594","5","2","1"
"601","1","6","6"
"601","3","9","1"
"601","4","2","8"
"601","5","1","1"
"601","7","1","1"
"604","1","2","4"
"604","3","9","1"
"604","4","2","1"
"610","1","5","5"
"610","3","2","1"
"612","1","1","2"
"615","1","3","1"
"616","12","2","1"
"617","1","5","2"
"621","1","2","4"
"625","1","5","4"
"625","3","6","1"
"625","10","1","4"
"628","1","6","6"
"628","3","8","1"
"628","5","2","1"
"631","1","6","7"
"631","3","3","8"
"631","4","4","1"
"631","5","4","7"
"631","7","2","5"
"631","9","2","5"
"631","10","4","3"
"631","11","1","1"
"631","12","7","7"
"631","13","1","1"
"632","1","5","6"
"632","3","9","1"
"632","4","2","8"
"632","5","3","1"
"632","13","1","1"
"634","1","6","1"
"634","3","8","7"
"634","4","3","6"
"634","5","4","6"
"634","7","2","4"
"634","9","2","3"
"634","10","4","1"
"634","11","4","5"
"634","12","2","4"
"634","13","3","10"
"634","14","1","1"
"635","1","5","2"
"637","1","6","6"
"637","3","3","8"
"637","4","3","6"
"637","5","4","2"
"637","7","2","2"
"640","1","1","1"
"641","1","2","1"
"644","1","2","1"
"644","3","1","1"
"644","4","2","1"
"645","1","6","6"
"645","3","6","4"
"645","4","4","1"
"645","5","4","3"
"645","7","2","3"
"645","9","2","5"
"645","10","1","4"
"645","11","1","1"
"645","12","7","7"
"645","13","1","3"
"645","14","1","1"
"645","16","1","1"
"648","1","2","1"
"650","1","5","4"
"653","1","2","2"
"654","1","6","7"
"654","3","8","7"
"654","4","3","6"
"654","5","4","1"
"654","7","2","5"
"654","9","2","5"
"654","10","2","4"
"654","11","4","6"
"654","12","4","1"
"654","13","3","10"
"654","14","3","4"
"654","15","2","7"
"654","16","2","5"
"655","1","6","7"
"655","3","8","1"
"655","4","3","6"
"655","5","2","8"
"655","7","1","6"
"655","9","2","5"
"655","10","2","4"
"655","12","7","1"
"659","1","3","2"
"659","3","7","5"
"659","4","3","3"
"659","5","4","3"
"659","7","1","5"
"659","9","2","5"
"659","12","7","5"
"659","14","1","3"
"659","15","2","7"
"662","3","2","1"
"671","1","1","2"
"672","1","3","2"
"672","3","9","1"
"672","4","2","1"
"672","5","1","2"
"673","1","6","7"
"673","3","7","1"
"675","1","5","6"
"675","3","6","5"
"675","4","3","6"
"675","5","2","9"
"675","7","1","1"
"683","3","1","1"
"687","1","1","2"
"687","3","1","1"
"687","4","2","2"
"687","5","4","7"
"687","7","1","5"
"687","13","3","2"
"687","14","3","3"
"687","15","1","1"
"688","4","2","1"
"689","1","1","1"
"689","3","1","1"
"695","1","1","1"
"700","1","1","1"
"704","1","1","2"
"704","3","6","3"
"704","4","1","1"
"704","5","1","4"
"707","1","1","2"
"711","1","5","2"
"711","3","9","1"
"711","4","4","1"
"711","5","4","3"
"712","1","6","6"
"712","4","3","5"
"712","5","4","7"
"712","7","2","4"
"712","9","2","5"
"712","10","4","3"
"712","11","1","2"
"712","12","7","4"
"712","13","3","8"
"712","15","2","7"
"712","16","2","5"
"713","1","1","2"
"713","3","1","7"
"713","4","1","1"
"713","5","1","1"
"714","13","2","1"
"716","1","1","1"
"717","4","2","7"
"717","5","1","1"
"719","1","1","1"
"720","1","1","1"
"720","4","1","1"
"720","12","1","1"
"723","3","4","3"
"724","1","2","1"
"725","1","6","7"
"725","2","1","1"
"725","3","7","4"
"725","4","3","7"
"725","5","1","1"
"725","7","1","1"
"725","9","1","1"
"725","12","1","1"
"725","13","1","1"
"726","1","1","3"
"726","3","4","1"
"726","4","3","7"
"726","5","1","1"
"728","3","2","1"
"730","3","1","3"
"733","1","6","4"
"733","3","4","5"
"734","1","3","1"
"734","3","1","1"
"735","1","1","2"
"736","1","6","7"
"736","3","6","2"
"736","4","3","6"
"746","1","6","7"
"746","3","8","1"
"746","4","4","1"
"746","5","4","7"
"747","1","1","2"
"748","1","1","1"
"749","1","4","1"
"751","1","3","2"
"753","1","2","1"
"754","1","2","1"
"759","1","2","1"
"759","3","4","8"
"767","3","3","1"
"769","1","3","1"
"771","1","6","5"
"771","3","7","8"
"771","4","4","1"
"771","5","4","1"
"771","7","2","5"
"771","9","2","5"
"771","10","4","3"
"771","11","3","4"
"771","12","7","7"
"774","1","2","3"
"777","1","5","2"
"778","1","1","2"
"779","1","3","3"
"782","1","1","1"
"787","3","1","6"
"787","11","1","1"
"790","1","6","7"
"790","3","1","1"
"790","4","1","1"
"790","9","1","1"
"790","10","1","1"
"790","11","1","1"
"790","12","1","1"
"790","13","1","1"
"791","1","6","7"
"791","3","4","6"
"791","4","2","1"
"791","5","4","7"
"791","7","2","4"
"791","9","2","3"
"791","10","2","3"
"791","11","3","4"
"791","12","7","4"
"793","1","2","1"
"796","1","1","1"
"797","1","4","1"
"801","1","6","5"
"803","1","1","2"
"804","1","2","3"
"807","1","2","4"
"807","3","3","8"
"807","4","3","6"
"807","5","4","7"
"807","7","2","5"
"807","9","2","1"
"807","12","7","7"
"807","15","2","3"
"808","1","2","3"
"811","1","1","1"
"811","2","1","1"
"811","4","2","1"
"811","5","1","1"
"811","11","1","1"
"811","12","1","1"
"812","1","6","6"
"812","3","8","3"
"812","15","2","3"
"816","1","6","7"
"816","3","7","4"
"816","4","3","4"
"818","3","1","3"
"820","1","1","1"
"821","1","1","1"
"827","1","1","1"
"827","3","7","6"
"828","3","5","3"
"832","1","6","6"
"832","3","4","4"
"832","4","3","6"
"832","5","4","4"
"832","7","2","5"
"832","9","2","1"
"832","12","1","1"
"832","15","1","1"
"832","16","2","4"
"833","1","3","1"
"844","1","6","7"
"844","4","4","1"
"848","1","3","4"
"848","3","9","1"
"848","4","2","1"
"850","1","4","3"
"853","1","1","2"
"855","5","1","1"
"855","9","1","2"
"859","1","1","2"
"860","1","2","3"
"861","1","1","1"
"863","1","5","2"
"863","12","2","1"
"865","12","1","1"
"868","1","6","6"
"868","3","4","8"
"869","1","2","1"
"870","12","2","2"
"876","1","5","5"
"876","3","6","5"
"876","4","2","3"
"876","5","1","1"
"876","9","1","1"
"876","11","1","1"
"876","12","6","1"
"877","1","1","1"
"884","1","5","6"
"884","3","1","3"
"884","4","4","1"
"884","5","4","7"
"886","3","1","1"
"888","1","6","1"
"888","3","2","8"
"891","1","6","2"
"891","3","1","1"
"891","13","1","1"
"895","12","1","1"
"897","1","4","3"
"897","9","1","3"
"900","4","2","3"
"902","1","1","1"
"902","3","1","7"
"902","4","3","7"
"902","5","1","1"
"902","9","2","3"
"902","10","1","1"
"902","11","1","1"
"902","12","3","2"
"902","13","1","3"
"905","1","6","7"
"905","3","6","5"
"905","4","2","8"
"905","5","2","7"
"905","7","1","4"
"905","9","2","1"
"905","10","1","1"
"905","11","4","4"
"905","12","7","5"
"906","3","1","1"
"906","9","1","1"
"906","11","1","1"
"908","1","1","1"
"909","3","1","1"
"912","1","2","1"
"913","10","1","1"
"914","1","6","7"
"914","3","3","6"
"914","4","1","1"
"915","1","5","5"
"915","3","6","5"
"915","4","4","1"
"915","5","3","1"
"915","7","1","1"
"915","9","2","1"
"915","11","2","2"
"915","15","1","4"
"917","3","1","1"
"918","5","2","1"
"918","7","1","1"
"918","9","1","1"
"920","1","6","7"
"920","3","9","1"
"920","4","3","7"
"920","5","1","1"
"922","1","1","1"
"922","3","7","6"
"922","4","3","6"
"922","5","3","1"
"922","7","2","3"
"922","9","2","2"
"922","10","4","3"
"922","11","4","3"
"922","12","7","1"
"922","13","2","4"
"923","1","1","2"
"925","1","3","1"
"928","11","1","1"
